Total_position,Total_company,Salary_per_month
总监助理,上海趣致网络科技股份有限公司,4000.0
文秘,联创新世纪（北京）品牌管理股份有...,2000.0
社群运营实习生,上海晶茂文化传播有限公司,2640.0
储备干部（销售、策划、编辑）,全时天地在线360事业部,6000.0
医疗器械销售,北京沐文珑尚文化传媒有限公司,3000.0
行政前台,科学技术文献出版社,6000.0
数据运营实习生,北京星光拓诚投资有限公司,3000.0
项目助理,北京也在创想文化传播有限公司,3000.0
短视频达人,通众传媒,4000.0
行政文员,北京界面精准广告有限公司,4500.0
高薪急聘会计助理 五险 管住,北京大西洋广告公司,4500.0
客户助理（汽车类）,北京璟泰天成技术有限公司,3000.0
编剧助理 （全职/实习）,北京界上传媒投资管理有限公司,5000.0
公关助理,中国医疗传媒集团,4500.0
销售实习生,北京达毅思创公关顾问有限公司,4500.0
商务助理,北京车慧互动广告有限公司,2860.0
设计实习生,百斯特国际展览（北京）有限公司,4500.0
Account Coordinator,浙江聚海数据管理有限公司,33000.0
舆情信息监控员,北京玖思联创科技有限公司,4000.0
